epoch,learning_rate,loss,mae,val_loss,val_mae
0,9.999999747378752e-05,0.029452353715896606,0.13632363080978394,0.023916542530059814,0.12051995098590851
1,9.548853995511308e-05,0.02638155035674572,0.1281469762325287,0.02459188923239708,0.121597059071064
2,9.095326095120981e-05,0.024841459468007088,0.12390163540840149,0.024661900475621223,0.12406650185585022
3,8.639269799459726e-05,0.023831762373447418,0.12184981256723404,0.02330249734222889,0.11978717893362045
4,8.180521399481222e-05,0.022534888237714767,0.11814912408590317,0.026091113686561584,0.12680304050445557
5,7.718895358266309e-05,0.021292099729180336,0.11437900364398956,0.024862105026841164,0.12398090958595276
6,7.25417849025689e-05,0.019793059676885605,0.1110459566116333,0.02426164411008358,0.12446846812963486
7,6.786127778468654e-05,0.01829858310520649,0.10629522055387497,0.023098910227417946,0.1200934499502182
8,6.314458732958883e-05,0.016717569902539253,0.1012285128235817,0.02525939606130123,0.12539474666118622
9,5.838837751070969e-05,0.015503262169659138,0.09764715284109116,0.0252145417034626,0.12449788302183151
10,5.358867201721296e-05,0.013714165426790714,0.09180206805467606,0.026461271569132805,0.12594322860240936
11,4.874064325122163e-05,0.012420080602169037,0.0874934270977974,0.027488432824611664,0.12896297872066498
12,4.3838328565470874e-05,0.010879435576498508,0.08172080665826797,0.02564629726111889,0.1288258135318756
13,3.8874179153935984e-05,0.00948582123965025,0.07618832588195801,0.02745300717651844,0.1299983710050583
14,3.383834700798616e-05,0.008468979969620705,0.07222656160593033,0.026408405974507332,0.1292361468076706
15,2.8717458917526528e-05,0.0072641377337276936,0.06722219288349152,0.025721443817019463,0.12748458981513977
16,2.349237911403179e-05,0.006461007986217737,0.06305275857448578,0.02582934871315956,0.12756504118442535
17,1.813351991586387e-05,0.0056809959933161736,0.05950849875807762,0.02627011202275753,0.1286514401435852
18,1.2589253856276628e-05,0.005160811357200146,0.05600148066878319,0.02641976997256279,0.128353089094162
19,6.746414328517858e-06,0.00479158665984869,0.05395346134901047,0.026766592636704445,0.1292474865913391
